what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1351779298018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779303051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779334477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351779334510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779339735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779379004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779379931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779521335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351779525184
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351779533635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779534517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779534711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779562026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779569162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351779576861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351779602924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351779604456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351779608423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351779609092
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351779615629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779632045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351779637938
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1351779639964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351779642546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351779643572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351779644795
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351779648383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351779650205
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351779652511
