what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803091525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803096447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803102615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351803127562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351803129907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803132223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803150732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351803175648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803177489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803187446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351803189843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803190322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803193555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803205258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803216793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803228213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803229988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351803234577
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351803237796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803284937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803303957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351803306458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803331155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351803333864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351803335115
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351803347625
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351803355345
