what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797344933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797374265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797375507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797386434
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351797397009
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351797460958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797466912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797516525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351797569113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351797596958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351797601647
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351797615338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797625125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797632474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351797637059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797642106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797664976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351797668780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797669744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797671585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797714825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351797769269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351797777606
